time_precision,inter1,inter2,geo_precision,State_label,Event_label,month,No_of_actors,SourceCount,Source_scale1,Fatality_Label
1,1,8,2,0,0,38,3,1,1,0
1,3,1,2,0,1,38,2,2,1,1
1,5,0,2,0,2,38,1,1,2,0
1,5,0,2,0,2,38,1,1,2,0
1,5,1,1,1,2,38,4,1,3,0
1,5,1,1,2,2,38,2,1,3,0
1,5,1,1,0,2,38,2,1,1,0
1,5,1,1,0,2,38,2,1,3,0
1,5,7,1,0,2,38,3,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,2,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,2,2,38,2,1,3,0
1,6,0,1,2,2,38,2,1,3,0
1,6,0,1,2,2,38,2,1,3,0
1,6,0,1,2,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,2,2,38,2,1,3,0
1,6,0,1,2,2,38,2,1,3,0
1,6,0,1,1,2,38,2,1,4,0
1,6,0,1,3,2,38,1,1,1,0
1,6,0,1,2,2,38,1,1,3,0
1,6,0,2,2,2,38,1,1,3,0
1,6,0,1,2,2,38,1,1,3,0
1,6,0,1,2,2,38,1,1,3,0
1,6,0,2,2,2,38,1,1,4,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,2,0,2,38,1,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,1,0,2,38,1,1,1,0
1,6,0,2,0,2,38,1,1,2,0
1,6,1,1,0,2,38,2,1,1,0
1,6,7,2,2,2,38,2,1,3,0
1,1,7,2,3,3,38,3,1,1,0
1,4,7,1,4,3,38,2,1,3,1
1,5,0,1,0,2,38,2,1,1,0
1,5,0,1,0,2,38,2,1,1,0
1,5,1,1,5,2,38,3,1,1,0
1,5,1,2,3,2,38,2,1,1,0
1,5,5,1,0,2,38,4,1,3,0
1,5,7,1,6,2,38,3,1,3,0
1,6,0,1,7,2,38,2,1,3,0
1,6,0,1,8,2,38,2,1,3,0
1,6,0,1,9,2,38,2,1,3,0
1,6,0,1,10,2,38,2,1,3,0
1,6,0,1,11,2,38,2,1,3,0
1,6,0,1,8,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,2,8,2,38,2,1,3,0
1,6,0,1,13,2,38,2,1,3,0
1,6,0,2,2,2,38,2,1,4,0
1,6,0,1,2,2,38,2,1,3,0
1,6,0,1,14,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,7,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,4,0
1,6,0,1,15,2,38,2,1,3,0
1,6,0,1,1,2,38,2,1,3,0
1,6,0,1,2,2,38,2,1,3,0
1,6,0,1,8,2,38,2,1,3,0
1,6,0,1,3,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,3,0
1,6,0,1,7,2,38,2,1,3,0
1,6,0,1,14,2,38,2,1,3,0
1,6,0,1,14,2,38,2,1,3,0
1,6,0,1,11,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,16,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,3,0
1,6,0,1,12,2,38,2,1,4,0
1,6,0,1,15,2,38,2,1,3,0
1,6,0,1,8,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,7,2,38,2,1,3,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,1,0,2,38,2,1,1,0
1,6,0,2,0,2,38,2,1,1,0
1,6,0,3,0,2,38,2,1,1,0
